Timestamp,Which class are you in?,How much did you enjoy this unit?,Are the assignments for every class clear for you to understand?,Does the to-do list format for this unit make sense to you?,Would you prefer we teach you a software to draw this map?,What did you like about this unit?,What did you dislike about this unit?,What would you like to change about this unit to make it better?,Feedback or comments for your teacher
5/11/2020 15:45:53,8P5-B,7,9,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,I like to design the map in our own opinion.,no,no,no
5/11/2020 15:48:43,8P5-B,7,8,Not very effective on reminding us to do our work on time. ,I like the option to choose how I want to make the map,"I like being able to choose what and how we are going to design the map, and many of the elements can be chosen by ourselves. ","I don't like the part that some parts of the master version of the school map that other students measured weren't as clear, and we didn't have enough time to finish the map because I don't even know what was the number.  ","I think would like this unit to last a little longer, and we should choose which of the buildings we want at the start so we measures our own numbers. ","I think the teacher helped a lot on the process of making the map, which was very helpful for the skills we can use in the future. "
5/11/2020 15:48:43,8P5-B,8,8,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,I like this unit because I can make a 3D map by myself and I would like to do some hand-craft things.,I didn't like the part of of drawing the sketch of each floor and calculate the length of each floor.,I think that the sketch of the each floor should be more clear (maybe make by teacher) because some of the labels of the floor wasn't clear.,NO
5/11/2020 15:49:08,8P5-B,10,9,I prefer this format,I like the option to choose how I want to make the map,We have freedom to use our imagination to make,I dislike the color of our building, More time. I want a server so we can make at same time,You are great and leads the class well.
5/11/2020 15:49:30,8P5-B,7,6,I prefer this format,I like the option to choose how I want to make the map,The map making,The planning part,I won't change anyting,"You are the best
"
5/11/2020 15:49:47,8P5-B,8,8,"I have no preference, I just hate planning",I have no preference,i made my first map in minecraft,too hard to build structures in minecraft for me cause i never built thing in minecraft before,nothing everything is fine,no feedback lets go
5/11/2020 15:50:26,8P5-B,7,10,I prefer this format,I have no preference,"I like this unit because we can see all kinds of map, and I like building.",I dislike the having to make the map and calculating the scale for the map.,"I would change about this unit is to have the smaller scale already, so we didn't need to calculate a lot of numbers.",Can we have less lesson that have math included?
5/11/2020 15:52:07,8P5-B,7,6,I prefer this format,I like the option to choose how I want to make the map,we can try to make the actual school out,We need to do it by ourselves. No one taught us.,Teacher can teach us some techniques to make a map. ,Nothing
5/11/2020 15:53:00,8P5-B,7,10,I prefer this format,I have no preference,I like to make the map by myself.,Nothing,nothing,My teacher is good.
5/11/2020 15:54:44,8P5-B,7,7,I prefer this format,I have no preference,Creating Map,No,No,No
5/11/2020 15:55:10,8P5-B,9,10,I prefer this format,I like the option to choose how I want to make the map,The unit is fun and free.,Nothing,Nothing,Good Unit
5/11/2020 15:55:15,8P5-B,9,8,I prefer this format,I like the option to choose how I want to make the map,there are many option of making map.,no, no,no
5/11/2020 15:56:40,8P5-B,9,9,I prefer this format,I like the option to choose how I want to make the map,"We can use different kind of apps to make our own map, it is interesting",I think some of the master version is not clear.,None,Good
5/11/2020 15:56:49,8P5-B,8,8,I prefer this format,I would rather a software is actually taught in class for me to use,making the map which is chalenging,some of the place of the school is too complex which takes a lot of time to fiinsh,more freedom,good
5/11/2020 16:02:38,8P5-B,8,1,I prefer this format,I like the option to choose how I want to make the map,What I like about this unit is we can learn more about our school and we can also learn how to draw indoor map.,I didn't dislike this unit,I great already,Nope
5/11/2020 16:39:54,8P3-SA,8,3,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,can know more the school,to much place need to draw,don't need to draw the map down,this map can found the classroom faster
5/11/2020 16:42:29,8P3-SA,8,8,"I have no preference, I just hate planning",I have no preference,GOOD,too much homework,NO,GOOD
5/11/2020 16:42:34,8P3-SA,5,5,"I have no preference, I just hate planning",I have no preference,I enjoy the maturing part ,It’s very compacted to draw,More easy instructions ,No 
5/11/2020 16:42:37,8P3-SA,8,8,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,"fun, easy to do",other people art work is not easy to see,no,no
5/11/2020 16:43:28,8P3-SA,7,3,I prefer to write a journal or week by week task,I would rather a software is actually taught in class for me to use,can know where is the place ,to many classroom need to draw,don't need to draw the map down,building two map is good to see
5/11/2020 16:43:54,8P3-SA,8,9,I prefer this format,I would rather a software is actually taught in class for me to use,i like to draw the map in this unit ,i dislike to write the workbook in the google classroom ,i think the unit is great ,good teacher 
5/11/2020 16:44:38,8P3-SA,7,7,I prefer this format,I like the option to choose how I want to make the map,design,to use machine to measure the distance,no measurement of school,none
5/11/2020 16:44:42,8P3-SA,6,6,I prefer to write a journal or week by week task,I would rather a software is actually taught in class for me to use,Measure the floor,Writing about how good is the map.,None,None
5/11/2020 16:45:01,8P3-SA,7,8,I prefer this format,I like the option to choose how I want to make the map,It's interesting and I can make my own design,It has to many limit,We can make more different game in the unit,good
5/11/2020 16:46:48,8P3-SA,7,4,I prefer to write a journal or week by week task,I have no preference,I think  when you  measuring  the size of the classroom.,"I think drew the map is hard to finish,because we have the big test.",We need to have more time.,I think next time need to have more time.
5/11/2020 16:48:01,8P3-SA,8,8,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,Draw,We only have less time to do.,Have more time to do our own thing.,You are good at teaching.
5/11/2020 16:48:17,8P3-SA,6,8,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,I like the process when I was coloring the map to compare different parts. ,I dislike the process when we were measuring the length and width.,I would like to change my time wisely to make it better because it would help me make the poster more perfectly.,:)
5/11/2020 16:50:27,8P3-SA,5,5,"I have no preference, I just hate planning",I have no preference,learn more about how designer  drawing map.,teacher grade to harshly. ,more time ,very good
5/11/2020 16:50:54,8P3-SA,8,9,I prefer this format,minecraft ,"I think this unit is really fun, but if there is more time I can make it better. Also if teacher can teach us with minecraft it will be much fun. ",I think the way to grade is so harshly. I think the teacher can grade it loser. ,Give us more time. ,"I think you did great, but the way you grade it is so harsh. I think I've done a good job. "
5/14/2020 15:45:50,8P3-2,5,5,I prefer this format,I like the option to choose how I want to make the map,it is fun,no,no,no
5/14/2020 15:47:16,8P3-2,6,6,I prefer this format,I like the option to choose how I want to make the map,It's interesting to walk to of class and measure our hallways.,"It's fun, so I like it.",maybe try to walk faster. ,"this unit is good, I like it."
5/14/2020 15:47:29,8P3-2,10,10,I prefer this format,I have no preference,I can learn how to draw the map on the computer,nope,nope,Very good
5/14/2020 15:47:53,8P3-2,8,10,I like to write down what I did after the unit is done,I would rather a software is actually taught in class for me to use,It is very easy.,I don't like other students to grade my work,You can graded our work,This unit is great
5/14/2020 15:47:57,8P3-2,10,10,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,you can choose how to make the map,the time is to short for the people that use other software to draw it or build it,Make the time longer,good
5/14/2020 15:48:07,8P3-2,10,10,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,The part we measure the one floor. ,Drawing down what we measure. ,Maybe can have more time to finish it. ,This unit is the best! 
5/14/2020 15:48:34,8P3-2,5,5,I prefer this format,I would rather a software is actually taught in class for me to use,Draw blueprint,Measure blueprint,Teach how to draw blueprint will be better,Great
5/14/2020 15:48:41,8P3-2,9,10,I prefer this format,I like the option to choose how I want to make the map,Yes,Nothing I like this unit,No,It is great
5/14/2020 15:49:04,8P3-2,4,8,I prefer this format,I would rather a software is actually taught in class for me to use,everythings,nothings,nothings,Good teacher
5/14/2020 15:49:16,8P3-2,1,10,I prefer this format,Adobe Indesign ,"Great, fist time ever to make a map by designing multiple times",I dislike the part where we need to measure the floor by ourself,I will like to change the part where we measure the floor,"Nice, well done Mr.Lin"
5/14/2020 15:49:59,8P3-2,9,7,I prefer this format,I like the option to choose how I want to make the map,Making maps.,The planning,More time to build the map.,I think the units are fun.
5/14/2020 15:51:40,8P3-2,10,10,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,I can work with my friends wisely.,"It can took many time to draw the map, and I think the students and teachers won't use this map even though we draw it for a long time. ",The due date can be longer. ,"Mr. Lin explain every clearly, and he make sure everyone can understand. "
5/14/2020 15:52:29,8P3-2,10,10,I prefer this format,I have no preference,It's pretty fun to do coloring,Nothing,I think this is pretty easy already so nothing to change,Excellent
5/14/2020 15:53:17,8P3-2,5,5,I prefer this format,I like the option to choose how I want to make the map,Use the rangefinder to measure the dimension of each classrooms in building 2.,To draw the blueprint.,Nothing,Very nice
5/14/2020 15:53:32,8P3-2,10,9,I prefer this format,I would rather a software is actually taught in class for me to use,To learn how to draw a map this is interesting.,No,I think I can change to use software to do it.,No
5/14/2020 15:54:04,8P3-2,1,1,"I have no preference, I just hate planning",I have no preference,know the map,i don't like to draw map,don't draw the map ,no
5/14/2020 15:54:20,8P3-2,8,8,I prefer this format,I would rather a software is actually taught in class for me to use,"I like to draw the map, it is much more easy than build a slope.","I don't like the date that is set for every formative or summative sould be submit, it is too less time for me.",I want to learn how to use computer to draw a map.,None.
5/14/2020 15:56:02,8P3-2,10,10,"I have no preference, I just hate planning",I have no preference,measuring school,Planning,Nothing,Very nice
5/14/2020 15:56:40,8P3-2,5,6,"I have no preference, I just hate planning",I have no preference,I can use a app to draw a map,the planning things,no,no comments
5/14/2020 15:56:45,8P3-1,8,7,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,"I like to draw pictures by myself. Before I draw, I use my memories and observe the terrain on the spot. And how to mark it clearly",I didn't schedule  my time well.,Give longer time.,You are a great teacher!
5/14/2020 16:01:43,8P3-2,6,10,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,Can present in anyway ,Nothing ,More time,Nothing 
5/14/2020 16:04:19,8P3-2,9,9,I prefer this format,I like the option to choose how I want to make the map,To do things we can’t do in other classes,I didn’t dislike anything.,Give more time to do this work,This is a great unit for people didn’t have much time to do other things.
5/15/2020 15:48:33,8P3-A,7,7,I prefer this format,I like the option to choose how I want to make the map,building the map,hard yo finish,none,none
5/15/2020 15:49:28,8P3-A,1,8,"I have no preference, I just hate planning",I have no preference,Measuring ,"planning, drawing",only do one floor,No
5/15/2020 15:50:39,8P3-A,10,10,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,go out the classroom to measure  the floor,No ,No ,No
5/15/2020 15:50:45,8P3-A,4,6,"I have no preference, I just hate planning",I like the option to choose how I want to make the map,To learn about the knowledge of space.,Homework.,To have a better plane on doing homework.,Very patient.
5/15/2020 15:51:39,8P3-A,8,10,I prefer this format,I have no preference,We can really measure the hallway,drawing map,Don't need to draw,Using the measure stuff is cool.
5/15/2020 15:52:04,8P3-A,6,9,I prefer this format,I have no preference,We can use any way to design the map by ourself.,I don't like to write the packet.,Don't write the packet and only designing the map.,Please that me sign at the class time 
5/15/2020 15:52:16,8P3-A,7,8,I prefer this format,I have no preference,No,No,No,Good
5/15/2020 15:52:57,8P3-A,8,8,"I have no preference, I just hate planning",I have no preference,Drawing and free time. ,Too less time to do. ,More time to finish it.,So good ah
5/15/2020 15:52:58,8P3-A,10,10,I prefer this format,I like the option to choose how I want to make the map,It can draw the school building and this unit can use the machine see how the floor big and long.,I don't like drawing because my drawing is bad.,Don't draw the building because I think is too big and is too difficult to draw.,Can use more machine.
5/15/2020 15:53:07,8P3-A,7,9,I prefer to write a journal or week by week task,I have no preference,I like to use minecraft to build it,I dislike build so many.,"I think we can make Just against one classroom, or it will be a lot to do.","This unit is fun, but it is too hard for me."
5/15/2020 15:54:14,8P3-A,10,9,I prefer this format,I have no preference,It very free to choose the way to do the map.,NOPE.,"Nope, I might ruin it. ",You are so good XD.
5/15/2020 15:55:18,8P3-A,8,7,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,Can learn more about the campus and enhance creative wisdom.,It takes a lot of time and energy.,Choose more performance and give more room for development.,Can give more practical operation guidance.
5/15/2020 15:55:34,8P3-A,8,6,I didn't follow the plan that I made by myself.,I like the option to choose how I want to make the map,"I haven't try to make the map by myself before, it's really interesting.","The time limit, I can't even finish the map because it just the midterm recent.",Can give us more time to finish it.,no 
5/15/2020 15:55:49,8P3-A,8,9,I prefer this format,I like the option to choose how I want to make the map,We can do the task in the way how we want to.,I think it is fun :),I think it is good.,This unit might be the most interesting unit I've ever have. 
5/15/2020 15:58:19,8P3-A,7,8,I prefer to write a journal or week by week task,I like the option to choose how I want to make the map,I like to deigh,the APP is hard to use,change the APP,no
5/15/2020 16:00:08,8P3-A,10,10,I prefer this format,I have no preference,i dont have class,i dont have class,i dont have class,i dont have class
